Recency,Frequency,Monetary,Quantity,Ø_Price,∃_items,%_Cancelled,Ø_Qty,Ø_InvoiceQty,Average_Price,Ø_basket,Country,Flag
725,14,51.75999999999999,54,10.498181818181818,28,0.0,1.13,6.909090909090909,12.07,45.0,United Kingdom,🇬🇧
403,2,1323.32,828,2.295070422535211,70,0.0,13.36,426.0422535211268,2.5,15.29,Iceland,🇮🇸
437,2,1114.96,1627,1.7294594594594592,21,0.0,53.22,777.7837837837837,3.79,11.11,Finland,🇫🇮
735,4,2646.9900000000002,988,8.406448598130842,92,20.0,8.99,469.89719626168227,8.36,-4.83,Italy,🇮🇹
392,2,343.8,188,3.033333333333333,18,0.0,5.82,99.66666666666667,20.05,23.96,Norway,🇳🇴
408,1,317.76,192,1.939,20,0.0,8.83,192.0,2.63,15.89,Bahrain,🇧🇭
567,1,488.21000000000004,303,2.399090909090909,22,0.0,15.51,303.0,3.07,22.19,Bahrain,🇧🇭
424,3,3560.3,1825,3.12566265060241,68,0.0,24.06,630.2409638554217,3.16,24.61,Portugal,🇵🇹
388,2,12079.99,3879,8.458424242424242,165,0.0,22.25,3854.5030303030303,6.2,68.48,Switzerland,🇨🇭
731,3,2719.01,831,4.41603448275862,52,0.0,14.01,273.3448275862069,5.37,84.11,Austria,🇦🇹
733,8,2469.36,914,4.651074380165289,110,0.0,6.76,209.4793388429752,7.45,23.77,Cyprus,🇨🇾
655,6,1550.83,1293,3.126067415730337,74,0.0,11.28,513.9662921348314,3.38,11.8,Austria,🇦🇹
681,3,321.35,144,4.152631578947369,14,0.0,8.1,47.8421052631579,3.87,15.6,Belgium,🇧🇪
738,1,130.0,1,130.0,1,0.0,8.05,1.0,4.41,130.0,Belgium,🇧🇪
633,1,500.24,296,1.6900000000000002,3,0.0,98.67,296.0,1.69,166.75,Cyprus,🇨🇾
627,1,917.7,330,4.391666666666667,18,0.0,18.33,330.0,4.39,50.98,Cyprus,🇨🇾
641,3,1791.15,1241,3.148924731182796,90,0.0,13.34,791.4516129032259,3.15,38.7,Austria,🇦🇹
668,5,2638.89,1219,3.8719200000000003,115,0.0,12.96,642.368,3.42,22.52,Austria,🇦🇹
644,3,2179.42,845,4.05625,91,0.0,8.6,440.3269230769231,3.99,18.88,Switzerland,🇨🇭
673,2,763.0500000000001,319,4.644594594594595,31,0.0,10.12,166.05405405405406,4.63,20.85,Austria,🇦🇹
587,3,2246.29,1020,2.9894,47,0.0,16.41,631.08,3.48,38.57,Austria,🇦🇹
417,2,503.15,240,8.03076923076923,11,0.0,18.46,177.46153846153845,8.03,39.32,Switzerland,🇨🇭
